Latitude,Longitude,ZipCode,Location
39.290498,-76.610276,21202,[39.290498\, -76.610276]
39.351855,-76.683323,21215,[39.351855\, -76.683323]
39.289386,-76.61948000000001,21201,[39.289386\, -76.61948000000001]
39.339445,-76.668406,21215,[39.339445\, -76.668406]
39.244783,-76.621161,21225,[39.244783\, -76.621161]
39.320479,-76.59277,21218,[39.320479\, -76.59277]
39.286609000000006,-76.593638,21231,[39.286609000000006\, -76.593638]
39.304660999999996,-76.665592,21216,[39.304660999999996\, -76.665592]
39.315982,-76.596818,21218,[39.315982\, -76.596818]
39.310024,-76.64372,21217,[39.310024\, -76.64372]
39.358184,-76.692778,21215,[39.358184\, -76.692778]
39.291321999999994,-76.616474,21201,[39.291321999999994\, -76.616474]
39.289772,-76.60894499999999,21202,[39.289772\, -76.60894499999999]
39.304839,-76.608199,21202,[39.304839\, -76.608199]
39.318059999999996,-76.612169,21218,[39.318059999999996\, -76.612169]
39.315490999999994,-76.609524,21218,[39.315490999999994\, -76.609524]
39.302175,-76.665651,21216,[39.302175\, -76.665651]
39.283375,-76.605212,21202,[39.283375\, -76.605212]
39.287668,-76.617692,21201,[39.287668\, -76.617692]
39.292815999999995,-76.600697,21202,[39.292815999999995\, -76.600697]
39.283599,-76.649785,21223,[39.283599\, -76.649785]
39.307393,-76.644125,21217,[39.307393\, -76.644125]
39.287529,-76.635958,21223,[39.287529\, -76.635958]
39.245532,-76.628935,21225,[39.245532\, -76.628935]
39.29452,-76.664808,21223,[39.29452\, -76.664808]
39.300195,-76.628213,21201,[39.300195\, -76.628213]
39.293632,-76.603893,21202,[39.293632\, -76.603893]
39.284334,-76.644981,21223,[39.284334\, -76.644981]
39.300149,-76.602136,21202,[39.300149\, -76.602136]
39.294017,-76.618224,21201,[39.294017\, -76.618224]
39.296935,-76.66683499999999,21216,[39.296935\, -76.66683499999999]
39.306571000000005,-76.617625,21201,[39.306571000000005\, -76.617625]
39.247806,-76.625636,21225,[39.247806\, -76.625636]
