"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1540944000000,"15:00:00","9S","1000 HOLLINS ST","SHOOTING","Inside","FIREARM",931,"SOUTHERN","HOLLINS PARK",-76.634745,39.287678,null,"COMMON BUSINESS",null,1
1540944000000,"12:28:00","9S","2400 CHRISTIAN ST","SHOOTING","Outside","FIREARM",841,"SOUTHWEST","MILL HILL",-76.65389,39.280364,null,"STREET","Tri-District",1
1540944000000,"15:00:00","9S","1000 HOLLINS ST","SHOOTING","Inside","FIREARM",931,"SOUTHERN","HOLLINS PARK",-76.634745,39.287678,null,"COMMON BUSINESS",null,1
1540857600000,"20:52:00","9S","3000 WYLIE AV","SHOOTING","Outside","FIREARM",532,"NORTHERN","PARK CIRCLE",-76.6653157428,39.3419402098,null,"PUBLIC AREA",null,1
1540857600000,"15:19:00","9S","900 STODDARD CT","SHOOTING","Outside","FIREARM",123,"CENTRAL","UPTON",-76.624915,39.299361,null,"STREET",null,1
1540857600000,"17:38:00","9S","3600 OLD FREDERICK RD","SHOOTING","Outside","FIREARM",842,"SOUTHWEST","SAINT JOSEPHS",-76.676608477,39.2832550444,null,"STREET",null,1
1540684800000,"22:48:00","9S","400 S BENTALOU ST","SHOOTING","Outside","FIREARM",841,"SOUTHWEST","MILL HILL",-76.652622604,39.2830350533,null,"STREET","Tri-District",1
1540684800000,"19:45:00","9S","6700 REISTERSTOWN RD","SHOOTING","Outside","FIREARM",631,"NORTHWEST","REISTERSTOWN STATION",-76.705265,39.358237,null,"STREET",null,1
1540684800000,"17:30:00","9S","5500 PARK HEIGHTS AV","SHOOTING","Outside","FIREARM",633,"NORTHWEST","PIMLICO GOOD NEIGHBO",-76.6834516416,39.3517697255,null,"PARKING LOT",null,1
1540512000000,"00:30:00","9S","4300 ROBERTON AV","SHOOTING","Outside","FIREARM",442,"NORTHEAST","PARKSIDE",-76.5561634654,39.3244697619,null,"STREET",null,1
1540512000000,"18:55:00","9S","1700 ASHBURTON ST","SHOOTING","Inside","FIREARM",723,"WESTERN","COPPIN HEIGHTS/ASHBU",-76.6621176879,39.3075046554,null,"DWELLING",null,1
1540339200000,"17:25:00","9S","4400 KAVON AV","SHOOTING","Outside","FIREARM",442,"NORTHEAST","BELAIR-EDISON",-76.5622171694,39.3282867119,null,"STREET",null,1
1540252800000,"19:42:00","9S","2100 BRIGHTON ST","SHOOTING","Outside","FIREARM",741,"WESTERN","EASTERWOOD",-76.6515925159,39.3058157131,null,"ALLEY",null,1
1540252800000,"19:42:00","9S","2100 BRIGHTON ST","SHOOTING","Outside","FIREARM",741,"WESTERN","EASTERWOOD",-76.6515925159,39.3058157131,null,"ALLEY",null,1
1540252800000,"21:22:00","9S","4700 EASTERN AV","SHOOTING","Outside","FIREARM",242,"SOUTHEAST","GREEKTOWN",-76.556535,39.287056,null,"STREET",null,1
1540252800000,"07:00:00","9S","200 N EUTAW ST","SHOOTING","Outside","FIREARM",111,"CENTRAL","DOWNTOWN",-76.6211005794,39.2915775773,null,"STREET",null,1
1540252800000,"21:39:00","9S","1800 N SPRING ST","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.5992782773,39.3106342536,null,"STREET","Eastern 1",1
